description,keywords,genre,year,name,director,id
"Un apuesto marinero se ve arrastrado a un vórtice de rivalidad entre hermanos, asesinatos y sexualidad explosiva.","nuevo cine alemán, homosexualidad, represión sexual, asesinato, seaman",drama,1982.0,Querelle (Un pacto con el diablo),Rainer Werner Fassbinder,1550
Un grupo de jóvenes sale a una discoteca en la víspera de Navidad y accidentalmente se encuentra con un pastor que se ha preparado para una noche de locura.,"perro, Navidad, pelea, disco, insulto étnico","comedia, terror, suspense",2006.0,Sheitan,Kim Chapiron,1551
Una organización antiterrorista clandestina finge la muerte de una asesina convicta y la entrena en las habilidades de lucha necesarias para tener éxito en su nuevo trabajo.,"secret life, agente secreto, agente doble, operative, amor","acción, drama, romance",1997.0,Nikita,,1552
"Una mujer de Pittsburgh con dos trabajos, soldadora y bailarina exótica, quiere entrar en una escuela de ballet.","ballet, brunette, dance movie, sudor, sweaty woman","drama, música, romance",1983.0,Flashdance,Adrian Lyne,1553
"Cuatro mujeres discuten temas cotidianos, comparten sus opiniones y entablan conversaciones sobre variedades de temas.","discusión, celebrity talk show, daytime talk show, lifestyle talk show, panel",tertulia,1997.0,The View,,1554
"En el corazón de África, los Thornberrys están rodando su programa lleno de acción sobre la vida salvaje. Están preparados para todo, con un vehículo todoterreno equipado a la perfección y una hija que tiene un don secreto.","family character name in title, sueño, pesadilla, cielo, animación 2d","animación, aventura, comedia",2003.0,Los Thornberrys: La película,Cathy Malkasian,1555
"Los zapatos de Zohres se han perdido; su hermano mayor Ali se los perdió. Son pobres, no hay zapatos para Zohre..... hasta que apareció una idea: compartirán un par de zapatos, La escuela de Alis,espera. ¿Logrará el plan?","lost shoe, tehran iran, relación hermano hermana, escena a cámara lenta, carrera","drama, familiar, deporte",1999.0,Children of Heaven,Majid Majidi,1556
Las vidas de dos familias cambian para siempre tras un fatal accidente en Reservation Road.,"downward spiral, red sox, investigación, béisbol, accidente","crimen, drama, suspense",2007.0,Un cruce en el destino,Terry George,1557
Terry cree que ha perdido un trabajo de verano por ser chica. Decide cortarse el pelo y vestirse como chico para ver si los alumnos del otro instituto se dan cuenta.,"girl disguised as a boy, gender disguise, female frontal nudity, girl pretends to be a boy, periódico","comedia, romance",1986.0,Un chico como todos,Lisa Gottlieb,1558
"Tras su último encuentro, Ripley aterriza en Fiorina 161, prisión de máxima seguridad. Cuando una serie de extraños y mortales acontecimientos ocurren después de su llegada, se da cuenta de que ha traído consigo a un visitante no des","alienígena, prisión, androide, criogenia, película de culto","acción, terror, ciencia ficción",1992.0,Alien³,David Fincher,1559
"Una cruel pero hermosa heredera se burla y engaña a un carpintero contratado. Cuando ella sufre amnesia tras un accidente, él decide introducirla en la vida normal convenciéndola de que son marido y mujer.","viendo la tele, carpenter, amnesia, yate, coast guard","comedia, romance",1988.0,Un mar de líos,Garry Marshall,1560
Oscar y Felix viajan camino a la boda de su hijo e hija.,"fumando un cigarro, relación padre-hijo, relación padre-hija, Florida, viaje en carretera","aventura, comedia",1999.0,"La extraña pareja, otra vez",Howard Deutch,1561
"Se descubre que un cometa está en curso de colisión con la Tierra. A medida que se acerca el día del juicio final, la raza humana se prepara para lo peor.","comet, desastre, saving the world mission, giant wave, president","acción, drama, ciencia ficción",1998.0,Deep Impact,Mimi Leder,1562
"En una sociedad futura totalitaria, un hombre, cuyo trabajo diario es reescribir la historia, intenta rebelarse enamorándose.","bare breasts, female nudity, desnudez, distopia, totalitarismo","drama, ciencia ficción",1985.0,1984,Michael Radford,1563
"Muchos hombres se lo piensan dos veces antes de casarse. Tres horas antes de su boda, Roland se lo piensa por tercera, cuarta y quinta vez. Por fortuna para él, tiene colegas como Slim y Mike para ayudarle.","amistad entre hombres, embarrassing nudity, bare chested male, male nudity, man wrapped in a towel","comedia, drama, romance",1999.0,Colegas,Rick Famuyiwa,1564
"El Guerrero Dragón tiene que enfrentarse al salvaje Tai Lung, el destino de China está en juego. El pánico cunde cuando el manto del Guerrero Dragón le es otorgado a un panda gordinflón novato en artes marciales.","animal antropomorfo, kung fu, China, artes marciales, giant panda","animación, acción, aventura",2008.0,Kung Fu Panda,Mark Osborne,1565
"Batman debe luchar contra el exfiscal de distrito Harvey Dent, que ahora es Dos Caras, y Edward Nygma, Enigma, con la ayuda de una amorosa psicóloga y de un joven acróbata de circo que se convierte en su compinche, Robin.","batman character, bruce wayne character, alfred pennyworth character, harvey dent character, james gordon character","acción, aventura",1995.0,Batman Forever,Joel Schumacher,1566
Dos chicos defienden Treasure Town. Los yakuza intentan tomar el control y despejarla para una nueva urbanización.,"yakuza, ciudad, urban development, crimen organizado, minotaur","animación, acción, aventura",2006.0,Tekkonkinkreet,Michael Arias,1567
Un investigador de seguros sospecha del impacto que los libros de terror de cierto autor tienen en su audiencia.,"fantasy becomes reality, pueblo, locura, monstruo, novelista","drama, fantasía, terror",1995.0,En la boca del miedo,John Carpenter,1568
"Un documental de una escuela de una sola aula en la Francia, donde los estudiantes son educados por un solo profesor dedicado.","escuela, auvergne, schoolhouse, dedicated teacher, nieve","documental, familiar",2004.0,Ser y tener,Nicolas Philibert,1569
"Un exagente del FBI, convertido en sheriff de un pequeño pueblo, acepta ayudar al jefe del FBI a infiltrarse en la mafia de Chicago cuando el hijo de este es asesinado.","guerra de bandas, clandestino, infiltración, tiroteo, violencia","acción, crimen, suspense",1986.0,Ejecutor,John Irvin,1570
"Es una comedia que trata de dos amigas que no se veían alrededor de 20 años, en ese tiempo eran fanáticas del Rock and roll y mucho mas, ahora una (Goldie Hawn) busca a su otra amiga quien ha cambiado luego de casarse con un exitoso ","viaje en carretera, female protagonist, estrella de rock, real life mother and daughter playing mother and daughter, crisis de los 40","comedia, drama",2003.0,Amigas a la fuerza,Bob Dolman,1571
Las tortugas ninja son transportadas en el tiempo al antiguo Japón.,"splinter character, april o'neil character, sequel to cult film, máquinas recreativas de videojuegos, mutante","acción, aventura, comedia",1993.0,Tortugas ninja III,Stuart Gillard,1572
Un conductor de camión relajado en el sur de Australia comienza a sospechar que un hombre que conducía una camioneta verde mata a mujeres jóvenes a lo largo de su ruta y procede a seguirlo para atraparlo con las manos en la masa.,"serial killer, semi trailer, incriminar por asesinato, estrangulación, paranoia","terror, misterio, suspense",1981.0,Carretera mortal,Richard Franklin,1573
"Un magnate de los casinos de Las Vegas, decidido a encontrar una nueva vía para las apuestas, organiza una carrera para buscar 2 millones de dólares.","casino, mother daughter reunion, en camino, ardilla, nazi","acción, aventura, comedia",2001.0,Ratas a la carrera,Jerry Zucker,1574
Varias personas tratan de ayudar a una niña a encontrar el dinero que le dio su madre para comprar una carpa dorada.,"dinero, little girl, shopkeeper, snake charmer, new year's day","drama, familiar",1995.0,El globo blanco,Jafar Panahi,1575
"Después de que los confundan con terroristas y los arrojen a la bahía de Guantánamo, los drogadictos Harold y Kumar escapan y regresan a Estados Unidos, donde proceden a huir por todo el país mientras los persiguen agentes federales.","missionary sex, minifalda, guantanamo bay, air marshal, homeland security","aventura, comedia",2008.0,Dos colgaos muy fumaos: Fuga de Guantánamo,Jon Hurwitz,1576
"Los muertos vivientes se han apoderado del mundo, y los últimos humanos viven en una ciudad amurallada para protegerse mientras se enfrentan a la situación.","zombie apocalypse, post-apocalíptico, zombie film, zombie survival, horror de supervivencia","terror, ciencia ficción, suspense",2005.0,La tierra de los muertos vivientes,George A. Romero,1577
"Después de descubrir que su esposa lo está engañando, un ingeniero aeroespacial insomne se encuentra accidentalmente a una bella modelo, y la ayuda a huir de personas extremadamente peligrosas.","aeropuerto, persecución, cameo, playa, adulterous wife","acción, comedia, crimen",1985.0,Cuando llega la noche,John Landis,1578
"Un programador descubre que su sueño de trabajar para una prestigiosa firma de Portland es en realidad una pesadilla, pues su jefe tiene más secretos que escrúpulos.","startup company, boy wears eyeglasses, character repeats someone else's dialogue, man wears eyeglasses, reference to mission impossible","acción, crimen, drama",2001.0,Conspiración en la red (Antitrust),Peter Howitt,1579
Dos policías de narcóticos investigan el flujo de éxtasis en Florida de un cártel de drogas cubano.,"Cuba, policía, Miami,  Florida, secuela, anti héroe","acción, comedia, crimen",2003.0,Dos policías rebeldes II,Michael Bay,1580
"Para llegar al éxito, un hombre acepta entrenar al equipo de fútbol femenino de su trabajo con la ayuda de su arma secreta: el hijo de su prometida.","coach, soccer coach, gender disguise, crush on girl, relación jefe empleado","comedia, deporte",1993.0,Todo por mi chica,Sidney J. Furie,1581
"Obélix se enamora de una nueva vecina en el poblado galo, y se le rompe el corazón cuando el novio llega. Pero los amantes son secuestrados por los romanos, y Astérix y Obélix tienen que rescatarlos en un peligroso viaje.","gaul, warrior, magical potion, pueblo, bosque","animación, aventura, comedia",1986.0,Astérix y la sorpresa del César,Gaëtan Brizzi,1582
"Astérix y Obélix viajan a Egipto para ayudar al arquitecto Numerobis, que está construyendo un palacio para Cleopatra.","arquitecto, based on comic book, Egipto, druid, cleopatra","aventura, comedia, familiar",2002.0,Astérix y Obélix: Misión Cleopatra,Alain Chabat,1583
"En esta brillante historia que se desarrolla en Sarajevo y en Italia, Perhan, un encantador joven rumano (de etnia gitana) con poderes telequinéticos, se deja seducir por el mundo del dinero rápido de la delincuencia, que amenaza con","forced prostitution, prostitución, Yugoslavia, gypsy, matando a un animal","comedia, crimen, drama",,El tiempo de los gitanos,Emir Kusturica,1584
La confesión forzada de un hombre sobre un atentado del IRA que no cometió tuvo como resultado el encarcelamiento de su padre también. Un abogado inglés lucha por liberar a ambos.,"prisión, relación padre-hijo, based on true story, wrongfully convicted, wrongfully convicted of murder","biografía, crimen, drama",1994.0,En el nombre del padre,Jim Sheridan,1585
"El marshal Samuel Gerard y su equipo son asignados para localizar a Sheridan, que ha sido acusado de un doble asesinato.","starbucks coffee, samuel gerard character, scene before opening title, pay off, chicken costume","acción, crimen, suspense",1998.0,U.S. Marshals,Stuart Baird,1586
Un nuevo profesor en un severo internado masculino intenta mejorar las vidas de sus alumnos con música.,"Francia, boy wears eyeglasses, timeframe 1940s, boy, escuela","comedia, drama, música",2004.0,Los chicos del coro,Christophe Barratier,1587
"Danny McBride borda su brillante actuación cómica como Fred Simmons, un estrafalario maestro de taekwondo que dirige su pequeño dojo de artes marciales con mano de hierro.","comedia de payasadas, pueblo, fiesta, artes marciales, co written by actor",comedia,2008.0,La senda del taekwondo,Jody Hill,1588
"Los Picapiedra y los Mármol van de viaje a Rock Vegas, donde el playboy Chip Rockefeller intenta conquistar a Vilma.","the flintstones, amor, precuela, based on tv series, title appears in song","comedia, familiar, romance",2000.0,Los Picapiedra en Viva Rock Vegas,Brian Levant,1589
Un padre de clase media sexualmente frustrado sufre una crisis de los 40 tras enamorarse de la mejor amiga de su hija.,"crisis de los 40, adulterous wife, engañando a la mujer, unfaithful wife, virgin girl",drama,2000.0,American Beauty,Sam Mendes,1590
"Cuando el motociclista Johnny Blaze vende su alma para salvar la vida de su padre, se transforma en El Motorista Fantasma, el cazarrecompensas del Diablo, y es enviado a cazar a los pecadores.","lucifer morningstar character, comicbook movie, motor vehicle, arma, character name as title","acción, fantasía, suspense",2007.0,Ghost Rider: El motorista fantasma,Mark Steven Johnson,1591
Los supervivientes de la catástrofe de Raccoon City viajan por el desierto de Nevada con la esperanza de llegar a Alaska. Alice se une a la caravana y a su lucha contra la malvada Corporación Umbrella.,"desierto, satélite, convoy, cuervo, clon","acción, aventura, terror",2007.0,Resident Evil: Extinción,Russell Mulcahy,1592
"En un futuro lejano con escasez de agua, los piratas espaciales quedan atrapados después de robar hielo de una nave espacial.","castración, hielo, time dilation, conveyor belt, post-apocalíptico","acción, aventura, comedia",1984.0,Guerreros del espacio,Stewart Raffill,1593
El dependiente de un videoclub acepta que un equipo de cámaras filme su vida para un programa de televisión.,"televisión, fictional reality show, media circus, commercialism, sátira","comedia, drama",1999.0,EDtv,Ron Howard,1594
"Una pareja de espías de baja por maternidad en Nueva Orleans, entretenida por un atracador llamado Muerte, es llamada cuando Novacek roba explosivos.","pistola, pelea a puñetazos, fotografía, intento de asesinato, bebé","comedia, crimen",1994.0,Cuidado con la familia Blue,Herbert Ross,1595
"El marinero de leyenda es inculpado por la diosa Eris por el robo del Libro de la Paz, y debe viajar a su reino en el fin del mundo para recuperarlo y salvar la vida de su amigo de la infancia, el príncipe Proteo.","arabian, pirata, greek goddess, evil goddess, enmarcar","animación, aventura, comedia",2003.0,Simbad: La leyenda de los siete mares,Patrick Gilmore,1596
"Hamlet, príncipe de Dinamarca, vuelve a casa para descubrir que su padre ha sido asesinado y que su madre va a contraer matrimonio con su tío, el asesino de su padre. Mientras, una guerra está a punto de explotar.","fantasma, venganza, shakespeare's hamlet, tragedia, gertrude character",drama,1996.0,Hamlet de Kenneth Branagh,Kenneth Branagh,1597
"Un ejecutivo de una compañía informática es demandado por acoso sexual por una antigua amante convertida en jefa que inició el acto a la fuerza, lo que amenaza tanto su carrera como su vida personal.","acoso sexual, seducción, casting couch, fellatio, sexual predator","drama, suspense",1995.0,Acoso,Barry Levinson,1598
"El escritor Alexander Masters documenta la vida de Stuart. Entablan una amistad y viajan hacia atrás para rastrear su problemática niñez, examinando la influencia y los efectos de su familia, educación y discapacidad.","male frontal nudity, male full frontal nudity, indigencia, pubic hair, male pubic hair","biografía, drama",2007.0,Stuart: Una vida al revés,David Attwood,1599
"Un ex DJ de radio, suicidado abatido debido a un terrible error que cometió, encuentra la redención en ayudar un hombre sin techo desemparado que fue una víctima involuntrario de ese error.","redención, video store clerk, muerte de esposa, contemplating suicide, referencia al Rey Arturo","comedia, drama, fantasía",1992.0,El rey pescador,Terry Gilliam,1600
"Una pista sobre el paradero de un tesoro escondido devuelve la chispa al sentido de aventura de un matrimonio, y a su romance.","treasure hunter, silt, mercenary, caribbean island, embarazo","acción, aventura, comedia",2008.0,Como locos... a por el oro,Andy Tennant,1601
El coronel Guile y otros héroes de las artes marciales luchan contra la tiranía del dictador M. Bison y sus secuaces.,"campy, guile character, m. bison character, pelea, rescate","acción, aventura, comedia",1995.0,Street Fighter: La última batalla,Steven E. de Souza,1602
"Ambientada en los años 80, cuando Harry conoció a Lloyd en el instituto, donde se cruzaron con un malvado director y un grupo de marginados muy parecidos a ellos.","título de siete palabras, puntuación, dream girl, aplastar, piscina",comedia,2003.0,Dos tontos muy tontos: Cuando Harry encontró a Lloyd,Troy Miller,1603
"Un playboy maduro se enamora de una joven dulce, pero con una enfermedad terminal.","EEUU, Estados Unidos, enamorandose, ciudad de Nueva York, enfermedad terminal","drama, romance",2000.0,Otoño en Nueva York,Joan Chen,1604
"Después de que su esposa sea brutalmente asesinada, Ben Archer, ejecutor de una organización criminal retirado, emprende una guerra contra las tríadas chinas.","handcuffed to a bed, female nudity, female frontal nudity, murder of a nude woman, eyewitness","acción, aventura, drama",2005.0,Justa venganza,Philippe Martinez,1605
"Dos hermanos tienen la mitad de un poderoso y antiguo talismán chino. Un malvado líder de pandillas tiene la otra mitad, y está determinado con obtener la otra mitad, tener el medallón completo para conseguir el poder absoluto.","teenage girl, vigilante, medallion, artes marciales, sombra","acción, aventura, comedia",1995.0,Double Dragon: La película,James Yukich,1606
"Dos jóvenes, ambos marginados en su pequeña ciudad, entablan una improbable amistad.","bully, matón del cole, pandilla, navaja suiza, gorra de béisbol","comedia, drama",1998.0,Un mundo a su medida,Peter Chelsom,1607
"Un abogado tenaz asume un caso que involucra a una empresa responsable de que varias personas fueran diagnosticadas con leucemia, debido a la contaminación del suministro de agua, un riesgo que puede arruinar su firma y carrera.","lawyer, bufete de abogados, demanda judicial, toxic waste, la década de 1980",drama,1999.0,A Civil Action (Acción civil),Steven Zaillian,1608
La vida hedonista de un escritor de sintonías comerciales se tambalea abruptamente cuando su hermano y su sobrino de 10 años se mudan a su casa frente a la playa.,"objetificación masculina, siglo XXI, gender in title, male protagonist, fraction in title","comedia, romance",2006.0,Dos hombres y medio,,1609
"Un antiguo gángster reformado intenta reconciliarse con su hermano policía del que está distanciado, pero los vínculos con su antigua pandilla son difíciles de romper.","amistad, neonoir, crime boss, criminal underworld, policía","acción, crimen, drama",1986.0,Un mañana mejor,John Woo,1610
Un suburbano sudafricano de clase media accede a ayudar a su jardinero negro a encontrar a su hijo encarcelado. Su investigación le abre los ojos a los horrores cometidos por la policía secreta y lo convierte en un objetivo.,"anti apartheid activist, state violence, tortured prisoners, gardener, Sudáfrica","drama, suspense",1989.0,Una árida estación blanca,Euzhan Palcy,1611
"En 1988, la Tierra establece el primer contacto con una civilización alienígena. En 1991, estos alienígenas comienzan a integrarse lentamente en la sociedad humana tras tres años de cuarentena.","policía, buddy cop, investigación, buddy movie, alienígena","acción, ciencia ficción",1988.0,Alien nación,Graham Baker,1612
El propietario de un cabaret gay y su pareja drag queen acuerdan fingir ser heterosexuales para que su hijo pueda presentarles a los conservadores padres de la novia.,"charade, pretense, sham, Estados Unidos de América, Estados Unidos",comedia,1996.0,Una jaula de grillos,Mike Nichols,1613
Zak Gibbs (Jesse Bradford) es un adolescente normal y corriente que de repente recibe unos poderes extraordinarios cuando se encuentra un misterioso artilugio en forma de reloj de pulsera ¡capaz de detener el tiempo!,"reloj de pulsera, time freeze, laboratorio, escena fast motion, instituto","acción, aventura, comedia",2002.0,Clockstoppers,Jonathan Frakes,1614
Un periodista bizarro y su abogado psicópata viajan a Las Vegas para una serie de aventuras psicodélicas.,"la década de 1970, drogas, alucinación, psychedelia, based on true story","aventura, comedia, drama",1999.0,Miedo y asco en Las Vegas,Terry Gilliam,1615
"Tres cortometrajes, cada uno dirigido por uno de los directores Michelangelo Antonioni, Steven Soderbergh y Wong Kar Wai, tratan los temas de amor y sexo.","psiquiatra, female nudity, sirena, psychologist, la década de 1950","drama, romance",2005.0,Eros,Michelangelo Antonioni,1616
"Rafi (Uma Thurman), una mujer de Manhattan de 37 años, recientemente divorciada, y lo que sucede cuando Dave (Bryan Geenberg), un talentoso pintor de Brooklyn de 23 años, se enamora de ella.","cat, therapist client relationship, relación mujer más mayor que hombre, relación madre hijo, años 2000","comedia, drama, romance",2006.0,Secretos compartidos,Ben Younger,1617
"Tanguy tiene 28 años y todavía vive con sus padres. Creen que es hora de que se mude. Y como no lo hace, traman un plan...","character name as title, nombre de pila como título, Francia, adult child lives with parents, adult child lives at home",comedia,2002.0,Tanguy ¿qué hacemos con el niño?,Étienne Chatiliez,1618
"Sigue la aventura de Satoshi con sus Pokémon, Pikachu y sus amigos, para convertirse en el maestro Pokémon.","pokemon, pikachu, anime, relación entre amo y mascota, meowth","animación, acción, aventura",1999.0,Pokémon,,1619
"El Hombre de Acero emprende una cruzada por el desarme nuclear y conoce a la última creación de Lex Luthor, el Hombre Nuclear.","DC cómics, unintentional humor, campy, kryptonian, male kryptonian","acción, aventura, ciencia ficción",1987.0,Superman IV: En busca de la paz,Sidney J. Furie,1620
Un dinosaurio huérfano criado por lémures se une a un arduo viaje a un santuario después de que una lluvia de meteoritos destruya la casa de su familia.,"Disney, dinosaurio, animal antropomorfo, anthropomorphic dinosaur, lemur","animación, aventura, drama",2000.0,Dinosaurio,Eric Leighton,1621
El esposo de Angela es asesinado por su aventura con la amante del mafioso Tony Russo. Un agente encubierto intenta reclutar a Angela para arrestar a Tony.,"female removes her clothes, female frontal nudity, murder of a nude woman, desnudez, gángster","comedia, crimen, romance",1988.0,Casada con todos,Jonathan Demme,1622
"La historia de la primera gran batalla de la fase americana de la guerra de Vietnam, y de los soldados de ambos bandos que la libraron, mientras sus esposas esperaban nerviosas y ansiosas en casa las buenas o las malas noticias.","batalla, soldado, guerra de Vietnam, helicóptero, based on true story","acción, drama, historia",2002.0,Cuando éramos soldados,Randall Wallace,1623
"El cazador de fortunas Allan Quatermain se une a una ingeniosa mujer para ayudarla a encontrar a su padre perdido en el África de 1900, mientras es perseguido por tribus hostiles y un explorador alemán rival.","german, selva, África, tribu, escopeta","acción, aventura, comedia",1985.0,Las minas del rey Salomón,J. Lee Thompson,1624
"Tras un extraño y casi mortal encuentro con un asesino en serie, una reportera de televisión es enviada a una remota estación de montaña cuyos residentes pueden no ser lo que parecen.","hombre-lobo, silver bullet, psiquiatra, bosque, female full frontal nudity",terror,1981.0,Aullidos,Joe Dante,1625
Narra el ascenso y la caída de un gángster inglés particularmente despiadado.,"gángster, rise and fall, male full frontal nudity, sociópata, tortura","crimen, drama, suspense",2000.0,Gangster No. 1,Paul McGuigan,1626
"La joven aprendiz del mágico y excéntrico dueño de una juguetería aprende a creer en sí misma, y en sus amigos, al conocer una grave noticia sobre el futuro.","juguete, kermit the frog character, genial, toymaker, whimsical","comedia, familiar, fantasía",2007.0,Mr. Magorium y su tienda mágica,Zach Helm,1627
"A un veterano detective se le asigna un novato después de que su anterior compañero fuera asesinado por una banda de ladrones de coches. Está decidido a detener a los responsables, pero su nuevo compañero no está realmente a la altur","rookie cop, rescate, agente de policía, neonoir, shootout in an airport","acción, crimen, drama",1991.0,El principiante,Clint Eastwood,1628
Dos detectives protegen a un testigo de un asesinato mientras investigan un caso de heroína robada del depósito de pruebas de su comisaría.,"Miami,  Florida, buddy movie, investigación criminal, investigación de asesinato, EEUU","acción, comedia, crimen",1995.0,Dos policías rebeldes,Michael Bay,1629
En el siglo XVIII un grupo de jesuitas españoles intenta proteger a una tribu sudamericana de los esclavistas portugueses.,"spanish, jesuit, misión, slave, selva","aventura, drama, historia",1986.0,La misión,Roland Joffé,1630
Un violento detective de la policía investiga un brutal asesinato en el que podría estar implicada una manipuladora y seductora novelista.,"erotic thriller, manipulación, female psychopath, desnudez, narcissistic personality disorder","drama, misterio, suspense",1992.0,Instinto básico,Paul Verhoeven,1631
Un golfista venido a menos intenta recuperar su juego y su vida con la ayuda de un cadi místico.,"golf, magical negro stereotype, female removes her clothes, no music during opening credits, plus fours","drama, fantasía, deporte",2001.0,La leyenda de Bagger Vance,Robert Redford,1632
Un camionero espacial y su linda prometida están en camino desde una estación espacial hacia la Tierra con un cargamento desconocido.,"película b, triton, neptune, defensive line, severed foot","aventura, comedia, ciencia ficción",1997.0,Space Truckers,Stuart Gordon,1633
"Un exartista de circo escapa de un hospital psiquiátrico para reunirse con su madre sin brazos, que lidera una extraña secta religiosa, y se ve obligado a cometer brutales asesinatos por ella cuando se convierte en ""sus brazos"".","circo, surrealismo, sangre, violence against a child, sulphuric acid","drama, terror, suspense",1991.0,Santa Sangre,Alejandro Jodorowsky,1634
"Una niña de dieciséis años que fue criada por su padre para ser el asesino perfecto es enviada a una misión en toda Europa, rastreada por un agente de inteligencia despiadado y sus agentes.","action heroine, pistola, deer hunting, female warrior, venganza","acción, aventura, drama",2011.0,Hanna,Joe Wright,1635
"Varias vidas convergen en una isla aislada, todas conectadas por un autor cuya novela se ha entrelazado inextricablemente con su propia vida.","hannibal lecter, policía, caníbal, pistola, exposed brain","crimen, drama, suspense",2001.0,Hannibal,Ridley Scott,1636
"El conocido juicio por asesinato del novelista estadounidense Michael Peterson, después de la muerte de su esposa en 2001.","columnist, blowpoke, crimen real, timeframe 2000s, crime documentary","documental, crimen, drama",2016.0,The Staircase,,1637
"Después de un tiroteo en un vuelo que transporta prisioneros, una asistente de vuelo debe burlar a un asesino en serie y aterrizar el avión ella misma.","stewardess, commercial air travel, avión, piloto, tiroteo","acción, suspense",1997.0,Turbulence,Robert Butler,1638
Un famoso espía chino se encuentra en la disyuntiva de seguir con su labor informativa a su gobierno o ayudar a una prostituta con problemas.,"chino, action hero, ejército de un solo hombre, forced prostitution, título dicho por personaje","acción, crimen, suspense",2001.0,El beso del dragón,Chris Nahon,1639
La familia Jennings lucha por la vida de su hija cuando ella es secuestrada por una banda de ladrones expertos.,"neonoir, psicópata, invasión del hogar, venganza, child drinks coffee","acción, crimen, drama",2003.0,Atrapada,Luis Mandoki,1640
"Dos estafadores intentan jugársela a un coleccionista de sellos vendiéndole una hoja de sellos raros falsificados (las """"Nueve Reinas"""").","Argentina, jew, buenos aires argentina, held at gunpoint, jugando a las cartas","crimen, drama, suspense",2001.0,Nueve reinas,Fabián Bielinsky,1641
"Un ex bailarín tiene un problema cardíaco e incluso con un trasplante, es posible que solo le queden unos meses de vida.","escrito por director, relaciones de familia, single mother, Paris Francia, place in title","comedia, drama, romance",2009.0,París,Cédric Klapisch,1642
"El propietario de una barbería histórica es presionado para que se venda a un desarrollador de terrenos, pero debe enfrentar el impacto que esto tendría en su comunidad unida.","barbería, barber, apropiación de tierras, barbershop, política","comedia, drama",2004.0,La barbería 2: Vuelta al negocio,Kevin Rodney Sullivan,1643
"El mejor detective del mundo, Daryl Zero, con la ayuda de su socio Steve Arlo, investiga un caso complejo y misterioso de chantaje que involucra al sombrío magnate Gregory Stark.","private detective, neonoir, novela policíaca, Los Ángeles California, detective","comedia, crimen, drama",1998.0,El efecto cero,Jake Kasdan,1644
"Una reina Isabel madura soporta múltiples crisis al final de su reinado, incluyendo intrigas en la corte, un complot de asesinato, la Armada Española y decepciones románticas.","queen, espía, elizabeth i character, female ruler, female monarch","biografía, drama, historia",2007.0,Elizabeth: La edad de oro,Shekhar Kapur,1645
"La narración fáctica del español Ramón Sampedro, quien luchó durante treinta años a favor de la eutanasia y de su propio derecho a morir.","eutanasia, dignity, right to die, quadriplegic, timeframe 1960s","biografía, drama",2004.0,Mar adentro,Alejandro Amenábar,1646
La afición de una joven por las novelas góticas sensacionalistas le lleva a malentendidos en los asuntos del corazón.,"drama histórico, amor, abbey, bañera, mansión","drama, romance",2007.0,La abadía de Northanger,Jon Jones,1647
El último año de vida de Beethoven.,"music student, music copyist, musical composition, drama histórico, mgm","biografía, drama, música",2006.0,Copying Beethoven,Agnieszka Holland,1648
"El rey de Dinamarca muere y su viuda se casa a las pocas semanas con su cuñado. Hamlet, el primogénito, no puede olvidar a su padre, cuyo fantasma se le aparece en los muros del castillo y le confirma que fue envenenado por su propio","gertrude character, ophelia character, horatio character, polonius character, claudius character",drama,1991.0,Hamlet (El honor de la venganza),Franco Zeffirelli,1649
Un joven que visita y ayuda a su tío en la ciudad de Nueva York se ve obligado a luchar contra una pandilla callejera y la mafia con sus habilidades en artes marciales.,"chinese american, body lands on a car, child in jeopardy, timeframe 1990s, martial arts action","acción, comedia, crimen",1996.0,Duro de matar,Stanley Tong,1650
Un equipo de cobayas especialmente entrenado es enviado para impedir que un diabólico multimillonario se apodere del mundo.,"live action cgi hybrid, woman wears eyeglasses, años 2000, mosca, animal spy","animación, acción, aventura",2009.0,G-Force: Licencia para espiar,Hoyt Yeatman,1651
La aventura de una noche de un hombre casado vuelve a atormentarlo cuando esa amante comienza a acecharlo a él y a su familia.,"borderline personality disorder, killing a pet, stalker, killing a rabbit, escena sexual","drama, suspense",1988.0,Atracción fatal,Adrian Lyne,1652
"En un pequeño apartamento de Tokio, Akira, de doce años, debe cuidar de sus hermanos menores después de que su madre los deja y no da señales de regresar.","child abandonment, Japón, neglect, malnutrition, based on true story",drama,2005.0,Nadie sabe,Hirokazu Koreeda,1653
Un drama romántico sobre un soldado que se enamora de un estudiante universitario conservador mientras está de vacaciones en casa.,"carta de amor, ejercito de EEUU, ejército, coin collector, tabla de surf","drama, misterio, romance",2010.0,Querido John,Lasse Hallström,1654
Un abusador de menores regresa a su ciudad natal después de 12 años en prisión e intenta comenzar una nueva vida.,"pantis, f rated, male nudity, male rear nudity, based on play",drama,2005.0,El leñador,Nicole Kassell,1655
Un pobre poeta bohemio en el París de 1890 se enamora de una bella cortesana y estrella de club nocturno a la que un duque celoso codicia.,"celos, belle epoque, final trágico, título de dos palabras, heterosexuality","drama, musical, romance",2001.0,Moulin Rouge,Baz Luhrmann,1656
"Un peculiar vaquero guía una caravana de regreso al Este. Sus integrantes son personas que no han podido adaptarse a la forma de vida ruda y violenta del lejano Oeste, y que sufren las últimas consecuencias en su viaje de vuelta.","two gun holster, holster, double gun holster, gun holster, buxom","aventura, comedia, del oeste",1995.0,Caravana al Este,Peter Markle,1657
